gm_code,gm_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
GM0014,Groningen,2002,4.045897890184982,-0.05636696095870359,NA,NA,NA,NA,NA
GM0014,Groningen,2008,4.089954691666982,-0.012310159476703022,NA,NA,NA,NA,NA
GM0014,Groningen,2012,4.1231986291212,0.0209337779775144,NA,NA,NA,NA,NA
GM0014,Groningen,2014,4.1292747818538444,0.027009930710158846,0.023790525293411604,-0.03133819034680282,-0.023424494841940126,0.0703975970245732,-0.012415506419083285
GM0014,Groningen,2016,4.151464609174954,0.04919975803126881,NA,NA,NA,NA,NA
GM0014,Groningen,2018,4.152570517599867,0.05030566645618151,0.026337802707763293,-0.023197664665511975,-0.021948630716362463,0.08044196838019615,-0.011327809249903793
GM0014,Groningen,2020,4.177679029839259,0.07541417869557429,0.021707341046584526,-0.015511599772124973,-0.022848291045834176,0.09171002753872114,3.5670092822750945e-4
GM0014,Groningen,2022,4.161926681932525,0.059661830788840055,0.02380027930033026,-0.022210509536448694,-0.023271160931081215,0.08976662066669472,-0.00842339871065531
GM0034,Almere,2002,3.9672729587245446,-0.13499189241914092,NA,NA,NA,NA,NA
GM0034,Almere,2008,3.9482391040133793,-0.15402574713030573,NA,NA,NA,NA,NA
GM0034,Almere,2012,3.9367809087721035,-0.16548394237158184,NA,NA,NA,NA,NA
GM0034,Almere,2014,3.941069862481165,-0.16119498866252055,0.012490165538799568,-0.07756282361440678,-0.0076715103291714595,-0.033633708242038145,-0.054817112015704
GM0034,Almere,2016,3.9832302415973544,-0.11903460954633086,NA,NA,NA,NA,NA
GM0034,Almere,2018,4.006627624073336,-0.09563722707034923,0.007587406595132027,-0.049911869621923906,-0.009091116555431463,-0.00673443307284135,-0.03748721441528482
GM0034,Almere,2020,4.022546945747438,-0.07971790539624783,0.011498570287731867,-0.05227984045438409,-0.009295393618256752,0.003024501476307709,-0.032665743087646845
GM0034,Almere,2022,4.035450877684153,-0.06681397345953184,0.01465700214408284,-0.034098392843212866,-0.004811598170353896,-0.02549616712045308,-0.017064817469595105
GM0037,Stadskanaal,2002,4.054117651748265,-0.048147199395420816,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2008,4.036599152051397,-0.06566569909228842,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2012,4.060657573338645,-0.04160727780504007,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2014,4.086291825525178,-0.01597302561850727,0.05452743287763667,0.023143175731854915,0.034189382981328134,-0.14061259934902665,0.012779582139699413
GM0037,Stadskanaal,2016,4.08176960112313,-0.020495250020555057,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2018,4.09242822598412,-0.009836625159564677,0.05488078045979202,0.03085951474246611,0.034803885914740595,-0.14667446003732912,0.016293653760765442
GM0037,Stadskanaal,2020,4.100905476139801,-0.0013593750038836698,0.05049567634906551,0.03614853643822413,0.03168873636305994,-0.13724836387589037,0.017556039721656837
GM0037,Stadskanaal,2022,4.087935288529609,-0.014329562614076719,0.0532062708810727,0.02211061050472469,0.02866875772173945,-0.14672906642745787,0.028413864705844012
GM0047,Veendam,2002,4.085872957242801,-0.016391893900884184,NA,NA,NA,NA,NA
GM0047,Veendam,2008,4.072340863443827,-0.02992398769985804,NA,NA,NA,NA,NA
GM0047,Veendam,2012,4.073489290468499,-0.028775560675186086,NA,NA,NA,NA,NA
GM0047,Veendam,2014,4.067268377313077,-0.034996473830607465,0.04247116171494042,0.0025631809731596084,0.027713116304522778,-0.1033232562085036,-0.004420676614726931
GM0047,Veendam,2016,4.099846854203146,-0.00241799694053931,NA,NA,NA,NA,NA
GM0047,Veendam,2018,4.099276575894843,-0.0029882752488430706,0.04015027019716205,0.02390089282920217,0.022848112401946345,-0.09685763563019784,0.006970084953043927
GM0047,Veendam,2020,4.106787774081538,0.004522922937852526,0.03430185468155313,0.04036927630539479,0.017806585215063033,-0.09194042869308904,0.003985635428930344
GM0047,Veendam,2022,4.142975983778022,0.04071113263433661,0.03608443903483046,0.0524316484423065,0.023641270862876564,-0.09180222138968865,0.020355995684011436
GM0050,Zeewolde,2002,4.060320737376055,-0.04194411376762991,NA,NA,NA,NA,NA
GM0050,Zeewolde,2008,4.05594050748047,-0.046324343663215334,NA,NA,NA,NA,NA
GM0050,Zeewolde,2012,4.085009422898591,-0.017255428245094385,NA,NA,NA,NA,NA
GM0050,Zeewolde,2014,4.078941566479723,-0.023323284663961413,0.018646057567326547,0.06442033924464195,0.026302970892893112,-0.13434115542202116,0.0016485030531978328
GM0050,Zeewolde,2016,4.1061279794995125,0.003863128355826774,NA,NA,NA,NA,NA
GM0050,Zeewolde,2018,4.102108770700941,-1.5608044274470197e-4,0.018224150684858813,0.07100832949859799,0.023829434326138266,-0.1291483083707138,0.015930313418373775
GM0050,Zeewolde,2020,4.092606248062525,-0.0096586030811607,0.01834663052197046,0.07423633516082555,0.023163178707812416,-0.14118827990494803,0.015783532433178624
GM0050,Zeewolde,2022,4.097053531839862,-0.0052113193038236414,0.01715437191891633,0.06422392698094032,0.030267574417206046,-0.14171058097167263,0.024853388350786047
GM0059,Achtkarspelen,2002,4.0757545899619565,-0.026510261181728514,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2008,4.115805085068249,0.013540233924564049,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2012,4.10635208542646,0.004087234282774543,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2014,4.120223743486092,0.01795889234240681,0.03693149719346014,0.06555650253324627,0.051543535468948354,-0.1552139580901233,0.019141315236875053
