gm_code,gm_naam,jaar_van,jaar_naar,lbm,fys,onv,soc,vrz,won
GM0037,Stadskanaal,2002,2016,0.02765194937486548,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2002,2018,0.03831057423585538,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2002,2020,0.0467878243915365,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2002,2022,0.033817636781344085,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2008,2012,0.02405842128724789,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2008,2014,0.049692673473781035,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2008,2016,0.04517044907173329,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2008,2018,0.05582907393272318,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2008,2020,0.06430632408840431,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2008,2022,0.05133613647821189,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2012,2014,0.025634252186533146,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2012,2016,0.0211120277844854,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2012,2018,0.031770652645475295,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2012,2020,0.04024790280115642,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2012,2022,0.027277715190964003,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2014,2016,-0.0045222244020477476,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2014,2018,0.006136400458942148,3.533475821553486e-4,0.007716339010611195,6.145029334124613e-4,-0.006061860688302473,0.003514071621066029
GM0037,Stadskanaal,2014,2020,0.014613650614623275,-0.0040317565285711635,0.013005360706369217,-0.002500646618268196,0.0033642354731362734,0.0047764575819574245
GM0037,Stadskanaal,2014,2022,0.0016434630044308562,-0.0013211619965639715,-0.001032565227130227,-0.005520625259588685,-0.00611646707843122,0.0156342825661446
GM0037,Stadskanaal,2016,2018,0.010658624860989896,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2016,2020,0.019135875016671022,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2016,2022,0.006165687406478604,NA,NA,NA,NA,NA
GM0037,Stadskanaal,2018,2020,0.008477250155681126,-0.004385104110726512,0.005289021695758022,-0.003115149551680657,0.009426096161438746,0.0012623859608913955
GM0037,Stadskanaal,2018,2022,-0.004492937454511292,-0.00167450957871932,-0.008748904237741422,-0.006135128193001146,-5.460639012874746e-5,0.01212021094507857
GM0037,Stadskanaal,2020,2022,-0.012970187610192419,0.002710594532007192,-0.014037925933499444,-0.0030199786413204893,-0.009480702551567494,0.010857824984187175
GM0047,Veendam,2002,2008,-0.013532093798973577,NA,NA,NA,NA,NA
GM0047,Veendam,2002,2012,-0.01238366677430136,NA,NA,NA,NA,NA
GM0047,Veendam,2002,2014,-0.01860457992972364,NA,NA,NA,NA,NA
GM0047,Veendam,2002,2016,0.013973896960345122,NA,NA,NA,NA,NA
GM0047,Veendam,2002,2018,0.013403618652041871,NA,NA,NA,NA,NA
GM0047,Veendam,2002,2020,0.020914816838737416,NA,NA,NA,NA,NA
GM0047,Veendam,2002,2022,0.05710302653522081,NA,NA,NA,NA,NA
GM0047,Veendam,2008,2012,0.0011484270246722161,NA,NA,NA,NA,NA
GM0047,Veendam,2008,2014,-0.005072486130750065,NA,NA,NA,NA,NA
GM0047,Veendam,2008,2016,0.0275059907593187,NA,NA,NA,NA,NA
GM0047,Veendam,2008,2018,0.026935712451015448,NA,NA,NA,NA,NA
GM0047,Veendam,2008,2020,0.03444691063771099,NA,NA,NA,NA,NA
GM0047,Veendam,2008,2022,0.07063512033419439,NA,NA,NA,NA,NA
GM0047,Veendam,2012,2014,-0.006220913155422281,NA,NA,NA,NA,NA
GM0047,Veendam,2012,2016,0.026357563734646483,NA,NA,NA,NA,NA
GM0047,Veendam,2012,2018,0.02578728542634323,NA,NA,NA,NA,NA
GM0047,Veendam,2012,2020,0.033298483613038776,NA,NA,NA,NA,NA
GM0047,Veendam,2012,2022,0.06948669330952217,NA,NA,NA,NA,NA
GM0047,Veendam,2014,2016,0.032578476890068764,NA,NA,NA,NA,NA
GM0047,Veendam,2014,2018,0.03200819858176551,-0.0023208915177783673,0.02133771185604256,-0.004865003902576433,0.00646562057830577,0.011390761567770857
GM0047,Veendam,2014,2020,0.03951939676846106,-0.008169307033387287,0.03780609533223518,-0.009906531089459745,0.01138282751541457,0.008406312043657275
GM0047,Veendam,2014,2022,0.07570760646494445,-0.006386722680109959,0.049868467469146895,-0.004071845441646214,0.01152103481881496,0.024776672298738367
GM0047,Veendam,2016,2018,-5.702783083032514e-4,NA,NA,NA,NA,NA
GM0047,Veendam,2016,2020,0.006940919878392293,NA,NA,NA,NA,NA
GM0047,Veendam,2016,2022,0.04312912957487569,NA,NA,NA,NA,NA
GM0047,Veendam,2018,2020,0.007511198186695545,-0.005848415515608919,0.01646838347619262,-0.005041527186883311,0.004917206937108801,-0.0029844495241135834
GM0047,Veendam,2018,2022,0.04369940788317894,-0.0040658311623315915,0.028530755613104333,7.931584609302197e-4,0.00505541424050919,0.01338591073096751
GM0047,Veendam,2020,2022,0.0361882096964834,0.0017825843532773278,0.012062372136911713,0.005834685647813531,1.3820730340038945e-4,0.016370360255081092
GM0050,Zeewolde,2002,2008,-0.004380229895585508,NA,NA,NA,NA,NA
GM0050,Zeewolde,2002,2012,0.02468868552253589,NA,NA,NA,NA,NA
GM0050,Zeewolde,2002,2014,0.018620829103667802,NA,NA,NA,NA,NA
GM0050,Zeewolde,2002,2016,0.045807242123457215,NA,NA,NA,NA,NA
GM0050,Zeewolde,2002,2018,0.041788033324885454,NA,NA,NA,NA,NA
GM0050,Zeewolde,2002,2020,0.0322855106864699,NA,NA,NA,NA,NA
GM0050,Zeewolde,2002,2022,0.036732794463806506,NA,NA,NA,NA,NA
GM0050,Zeewolde,2008,2012,0.0290689154181214,NA,NA,NA,NA,NA
GM0050,Zeewolde,2008,2014,0.02300105899925331,NA,NA,NA,NA,NA
GM0050,Zeewolde,2008,2016,0.05018747201904272,NA,NA,NA,NA,NA
GM0050,Zeewolde,2008,2018,0.04616826322047096,NA,NA,NA,NA,NA
GM0050,Zeewolde,2008,2020,0.036665740582055406,NA,NA,NA,NA,NA
GM0050,Zeewolde,2008,2022,0.041113024359392014,NA,NA,NA,NA,NA
GM0050,Zeewolde,2012,2014,-0.0060678564188680895,NA,NA,NA,NA,NA
GM0050,Zeewolde,2012,2016,0.021118556600921323,NA,NA,NA,NA,NA
GM0050,Zeewolde,2012,2018,0.017099347802349563,NA,NA,NA,NA,NA
GM0050,Zeewolde,2012,2020,0.007596825163934007,NA,NA,NA,NA,NA
GM0050,Zeewolde,2012,2022,0.012044108941270615,NA,NA,NA,NA,NA
GM0050,Zeewolde,2014,2016,0.027186413019789413,NA,NA,NA,NA,NA
GM0050,Zeewolde,2014,2018,0.023167204221217652,-4.21906882467734e-4,0.006587990253956039,-0.0024735365667548463,0.005192847051307348,0.014281810365175942
GM0050,Zeewolde,2014,2020,0.013664681582802096,-2.9942704535608836e-4,0.009815995916183595,-0.003139792185080696,-0.006847124482926875,0.014135029379980792
GM0050,Zeewolde,2014,2022,0.018111965360138704,-0.0014916856484102174,-1.964122637016369e-4,0.003964603524312934,-0.007369425549651476,0.023204885297588213
GM0050,Zeewolde,2016,2018,-0.004019208798571761,NA,NA,NA,NA,NA
GM0050,Zeewolde,2016,2020,-0.013521731436987316,NA,NA,NA,NA,NA
GM0050,Zeewolde,2016,2022,-0.009074447659650708,NA,NA,NA,NA,NA
GM0050,Zeewolde,2018,2020,-0.009502522638415556,1.2247983711164562e-4,0.0032280056622275566,-6.662556183258499e-4,-0.012039971534234223,-1.467809851951503e-4
GM0050,Zeewolde,2018,2022,-0.005055238861078948,-0.0010697787659424834,-0.0067844025176576755,0.00643814009106778,-0.012562272600958824,0.008923074932412272
GM0050,Zeewolde,2020,2022,0.004447283777336608,-0.001192258603054129,-0.010012408179885232,0.00710439570939363,-5.223010667246009e-4,0.009069855917607422
GM0059,Achtkarspelen,2002,2008,0.04005049510629277,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2002,2012,0.03059749546450341,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2002,2014,0.04446915352413594,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2002,2016,0.0459486797770996,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2002,2018,0.022634665471931825,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2002,2020,0.02491814486389199,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2002,2022,0.03482794059888583,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2008,2012,-0.009452999641789361,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2008,2014,0.004418658417843169,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2008,2016,0.0058981846708068275,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2008,2018,-0.017415829634360946,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2008,2020,-0.015132350242400783,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2008,2022,-0.00522255450740694,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2012,2014,0.01387165805963253,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2012,2016,0.015351184312596189,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2012,2018,-0.007962829992571585,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2012,2020,-0.005679350600611421,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2012,2022,0.004230445134382421,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2014,2016,0.0014795262529636588,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2014,2018,-0.021834488052204115,-0.005482139903284354,-0.0060649810814768015,-0.004434898742089161,-0.01776323860484441,0.011910770279490425
GM0059,Achtkarspelen,2014,2020,-0.01955100866024395,-0.011152436732294425,-0.007550848820547858,-0.009745206060663834,-0.0022850093638837887,0.011182492317145989
GM0059,Achtkarspelen,2014,2022,-0.009641212925250109,-0.0057778320350881165,0.002578828377953646,-0.007527423518264374,-0.015809156965774757,0.016894371215924374
GM0059,Achtkarspelen,2016,2018,-0.023314014305167774,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2016,2020,-0.02103053491320761,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2016,2022,-0.011120739178213768,NA,NA,NA,NA,NA
GM0059,Achtkarspelen,2018,2020,0.0022834793919601637,-0.005670296829010071,-0.0014858677390710562,-0.005310307318574674,0.015478229240960623,-7.282779623444362e-4
GM0059,Achtkarspelen,2018,2022,0.012193275126954006,-2.956921318037625e-4,0.008643809459430447,-0.0030925247761752137,0.0019540816390696547,0.004983600936433949
GM0059,Achtkarspelen,2020,2022,0.009909795734993843,0.005374604697206308,0.010129677198501504,0.00221778254239946,-0.013524147601890968,0.005711878898778385
GM0060,Ameland,2002,2008,0.026232385736862263,NA,NA,NA,NA,NA
GM0060,Ameland,2002,2012,0.04898940598448753,NA,NA,NA,NA,NA
GM0060,Ameland,2002,2014,0.044416839418051524,NA,NA,NA,NA,NA
GM0060,Ameland,2002,2016,0.07930747795165516,NA,NA,NA,NA,NA
GM0060,Ameland,2002,2018,0.04877780760422468,NA,NA,NA,NA,NA
GM0060,Ameland,2002,2020,0.05294475408921606,NA,NA,NA,NA,NA
GM0060,Ameland,2002,2022,0.04528341334670127,NA,NA,NA,NA,NA
GM0060,Ameland,2008,2012,0.02275702024762527,NA,NA,NA,NA,NA
GM0060,Ameland,2008,2014,0.01818445368118926,NA,NA,NA,NA,NA
GM0060,Ameland,2008,2016,0.053075092214792896,NA,NA,NA,NA,NA
GM0060,Ameland,2008,2018,0.022545421867362414,NA,NA,NA,NA,NA
GM0060,Ameland,2008,2020,0.0267123683523538,NA,NA,NA,NA,NA
GM0060,Ameland,2008,2022,0.01905102760983901,NA,NA,NA,NA,NA
GM0060,Ameland,2012,2014,-0.004572566566436009,NA,NA,NA,NA,NA
GM0060,Ameland,2012,2016,0.030318071967167626,NA,NA,NA,NA,NA
GM0060,Ameland,2012,2018,-2.1159838026285627e-4,NA,NA,NA,NA,NA
GM0060,Ameland,2012,2020,0.003955348104728529,NA,NA,NA,NA,NA
GM0060,Ameland,2012,2022,-0.0037059926377862595,NA,NA,NA,NA,NA
GM0060,Ameland,2014,2016,0.034890638533603635,NA,NA,NA,NA,NA
GM0060,Ameland,2014,2018,0.004360968186173153,-0.024839473024901276,0.024720103478954744,0.0027455341707479375,-0.0018192009605412507,0.0035540045219140184
GM0060,Ameland,2014,2020,0.008527914671164538,-0.018624001191441975,0.0338062049000476,0.0020658747952141676,-4.883999977641773e-4,-0.00823176383489034
GM0060,Ameland,2014,2022,8.665739286497498e-4,-0.014083634817287721,0.022989707419514782,-0.0088443126792761,-0.0038570610122513893,0.004661875017950776
GM0060,Ameland,2016,2018,-0.030529670347430482,NA,NA,NA,NA,NA
GM0060,Ameland,2016,2020,-0.026362723862439097,NA,NA,NA,NA,NA
GM0060,Ameland,2016,2022,-0.034024064604953885,NA,NA,NA,NA,NA
GM0060,Ameland,2018,2020,0.004166946484991385,0.006215471833459302,0.009086101421092854,-6.796593755337699e-4,0.0013308009627770734,-0.011785768356804359
GM0060,Ameland,2018,2022,-0.0034943942575234033,0.010755838207613555,-0.001730396059439962,-0.011589846850024038,-0.0020378600517101386,0.0011078704960367572
GM0060,Ameland,2020,2022,-0.007661340742514788,0.004540366374154253,-0.010816497480532816,-0.010910187474490268,-0.003368661014487212,0.012893638852841116
GM0072,Harlingen,2002,2008,0.03504799897066668,NA,NA,NA,NA,NA
GM0072,Harlingen,2002,2012,0.06557639255671077,NA,NA,NA,NA,NA
GM0072,Harlingen,2002,2014,0.09925482913441108,NA,NA,NA,NA,NA
GM0072,Harlingen,2002,2016,0.12032480920893285,NA,NA,NA,NA,NA
GM0072,Harlingen,2002,2018,0.12052597987933211,NA,NA,NA,NA,NA
GM0072,Harlingen,2002,2020,0.12188468120290263,NA,NA,NA,NA,NA
GM0072,Harlingen,2002,2022,0.1392307190783919,NA,NA,NA,NA,NA
GM0072,Harlingen,2008,2012,0.03052839358604409,NA,NA,NA,NA,NA
GM0072,Harlingen,2008,2014,0.0642068301637444,NA,NA,NA,NA,NA
GM0072,Harlingen,2008,2016,0.08527681023826617,NA,NA,NA,NA,NA
GM0072,Harlingen,2008,2018,0.08547798090866543,NA,NA,NA,NA,NA
GM0072,Harlingen,2008,2020,0.08683668223223595,NA,NA,NA,NA,NA
GM0072,Harlingen,2008,2022,0.10418272010772522,NA,NA,NA,NA,NA
GM0072,Harlingen,2012,2014,0.03367843657770031,NA,NA,NA,NA,NA
GM0072,Harlingen,2012,2016,0.054748416652222076,NA,NA,NA,NA,NA
GM0072,Harlingen,2012,2018,0.05494958732262134,NA,NA,NA,NA,NA
GM0072,Harlingen,2012,2020,0.05630828864619186,NA,NA,NA,NA,NA
GM0072,Harlingen,2012,2022,0.07365432652168113,NA,NA,NA,NA,NA
GM0072,Harlingen,2014,2016,0.021069980074521766,NA,NA,NA,NA,NA
GM0072,Harlingen,2014,2018,0.02127115074492103,-0.005544343710622283,0.014555843668801118,-0.001519181712087118,0.004371425729130907,0.009407406769698208
GM0072,Harlingen,2014,2020,0.02262985206849155,-0.0033238561645898557,0.020013911155956514,-0.004627079444423648,0.0062240321677220906,0.0043428443538270425
GM0072,Harlingen,2014,2022,0.039975889943980825,-0.002703546642104815,0.02149549160975698,-0.005327825830976284,0.008369996568018415,0.018141774239287242
GM0072,Harlingen,2016,2018,2.011706703992644e-4,NA,NA,NA,NA,NA
GM0072,Harlingen,2016,2020,0.0015598719939697858,NA,NA,NA,NA,NA
GM0072,Harlingen,2016,2022,0.01890590986945906,NA,NA,NA,NA,NA
GM0072,Harlingen,2018,2020,0.0013587013235705214,0.0022204875460324278,0.005458067487155396,-0.00310789773233653,0.001852606438591184,-0.0050645624158711655
GM0072,Harlingen,2018,2022,0.018704739199059794,0.0028407970685174685,0.006939647940955862,-0.003808644118889166,0.003998570838887508,0.008734367469589034
GM0072,Harlingen,2020,2022,0.017346037875489273,6.203095224850408e-4,0.0014815804538004657,-7.007463865526357e-4,0.002145964400296324,0.0137989298854602
GM0074,Heerenveen,2002,2008,0.033847634278537875,NA,NA,NA,NA,NA
GM0074,Heerenveen,2002,2012,0.025722233558353125,NA,NA,NA,NA,NA
GM0074,Heerenveen,2002,2014,0.1057062430657787,NA,NA,NA,NA,NA
GM0074,Heerenveen,2002,2016,0.07263405117187816,NA,NA,NA,NA,NA
GM0074,Heerenveen,2002,2018,0.07570682101978043,NA,NA,NA,NA,NA
GM0074,Heerenveen,2002,2020,0.08042896638629848,NA,NA,NA,NA,NA
GM0074,Heerenveen,2002,2022,0.10806441093674124,NA,NA,NA,NA,NA
GM0074,Heerenveen,2008,2012,-0.00812540072018475,NA,NA,NA,NA,NA
GM0074,Heerenveen,2008,2014,0.07185860878724082,NA,NA,NA,NA,NA
GM0074,Heerenveen,2008,2016,0.03878641689334028,NA,NA,NA,NA,NA
GM0074,Heerenveen,2008,2018,0.04185918674124256,NA,NA,NA,NA,NA
GM0074,Heerenveen,2008,2020,0.04658133210776061,NA,NA,NA,NA,NA
GM0074,Heerenveen,2008,2022,0.074216776658203365,NA,NA,NA,NA,NA
GM0074,Heerenveen,2012,2014,0.07998400950742557,NA,NA,NA,NA,NA
GM0074,Heerenveen,2012,2016,0.04691181761352503,NA,NA,NA,NA,NA
GM0074,Heerenveen,2012,2018,0.04998458746142731,NA,NA,NA,NA,NA
GM0074,Heerenveen,2012,2020,0.05470673282794536,NA,NA,NA,NA,NA
GM0074,Heerenveen,2012,2022,0.08234217737838812,NA,NA,NA,NA,NA
GM0074,Heerenveen,2014,2016,-0.03307219189390054,NA,NA,NA,NA,NA
GM0074,Heerenveen,2014,2018,-0.02999942204599826,0.012294615351076156,-0.0457010911990962,-0.04071627946245602,0.0807448793246038,-0.036621546060126
GM0074,Heerenveen,2014,2020,-0.02527727667948021,0.008096757707457033,-0.04630500441843972,-0.0463154249505727,0.0950417738649994,-0.03579537888292407
GM0074,Heerenveen,2014,2022,0.0023581678709625464,0.008401266698604415,-0.041969397171711956,-0.04017547622513247,0.10065977239187318,-0.0245579978226704
GM0074,Heerenveen,2016,2018,0.003072769847902279,NA,NA,NA,NA,NA
GM0074,Heerenveen,2016,2020,0.007794915214420328,NA,NA,NA,NA,NA
