"ID";"RegioS";"Perioden";"GemiddeldeVerkoopprijs_1"
"614";"GM0480";"2000JJ00";"  251576"
"615";"GM0480";"2001JJ00";"  266440"
"616";"GM0480";"2002JJ00";"  258324"
"617";"GM0480";"2003JJ00";"  239611"
"618";"GM0480";"2004JJ00";"  262765"
"619";"GM0480";"2005JJ00";"  254626"
"620";"GM0480";"2006JJ00";"  264752"
"621";"GM0480";"2007JJ00";""
"622";"GM0480";"2008JJ00";""
"623";"GM0480";"2009JJ00";""
"624";"GM0480";"2010JJ00";""
"625";"GM0480";"2011JJ00";""
"626";"GM0480";"2012JJ00";""
"627";"GM0480";"2013JJ00";""
"628";"GM0480";"2014JJ00";""
"629";"GM0480";"2015JJ00";""
"630";"GM0480";"2016JJ00";""
"631";"GM0480";"2017JJ00";""
"632";"GM0480";"2018JJ00";""
"633";"GM0480";"2019JJ00";""
"634";"GM0480";"2020JJ00";""
"635";"GM0480";"2021JJ00";""
"636";"GM0480";"2022JJ00";""
"637";"GM0480";"2023JJ00";""
"638";"GM0739";"1995JJ00";"  118892"
"639";"GM0739";"1996JJ00";"  110107"
"640";"GM0739";"1997JJ00";""
"641";"GM0739";"1998JJ00";""
"642";"GM0739";"1999JJ00";""
"643";"GM0739";"2000JJ00";""
"644";"GM0739";"2001JJ00";""
"645";"GM0739";"2002JJ00";""
"646";"GM0739";"2003JJ00";""
"647";"GM0739";"2004JJ00";""
"648";"GM0739";"2005JJ00";""
"649";"GM0739";"2006JJ00";""
"650";"GM0739";"2007JJ00";""
"651";"GM0739";"2008JJ00";""
"652";"GM0739";"2009JJ00";""
"653";"GM0739";"2010JJ00";""
"654";"GM0739";"2011JJ00";""
"655";"GM0739";"2012JJ00";""
"656";"GM0739";"2013JJ00";""
"657";"GM0739";"2014JJ00";""
"658";"GM0739";"2015JJ00";""
"659";"GM0739";"2016JJ00";""
"660";"GM0739";"2017JJ00";""
"661";"GM0739";"2018JJ00";""
"662";"GM0739";"2019JJ00";""
"663";"GM0739";"2020JJ00";""
"664";"GM0739";"2021JJ00";""
"665";"GM0739";"2022JJ00";""
"666";"GM0739";"2023JJ00";""
"667";"GM0305";"1995JJ00";"  174475"
"668";"GM0305";"1996JJ00";"  161604"
"669";"GM0305";"1997JJ00";"  205076"
"670";"GM0305";"1998JJ00";"  202595"
"671";"GM0305";"1999JJ00";"  284734"
"672";"GM0305";"2000JJ00";"  348015"
"673";"GM0305";"2001JJ00";"  370588"
"674";"GM0305";"2002JJ00";"  399958"
"675";"GM0305";"2003JJ00";"  351704"
"676";"GM0305";"2004JJ00";"  366841"
"677";"GM0305";"2005JJ00";"  424482"
"678";"GM0305";"2006JJ00";"  449208"
"679";"GM0305";"2007JJ00";"  518993"
"680";"GM0305";"2008JJ00";"  520749"
"681";"GM0305";"2009JJ00";"  454085"
"682";"GM0305";"2010JJ00";"  483105"
"683";"GM0305";"2011JJ00";""
"684";"GM0305";"2012JJ00";""
"685";"GM0305";"2013JJ00";""
"686";"GM0305";"2014JJ00";""
"687";"GM0305";"2015JJ00";""
"688";"GM0305";"2016JJ00";""
"689";"GM0305";"2017JJ00";""
"690";"GM0305";"2018JJ00";""
"691";"GM0305";"2019JJ00";""
"692";"GM0305";"2020JJ00";""
"693";"GM0305";"2021JJ00";""
"694";"GM0305";"2022JJ00";""
"695";"GM0305";"2023JJ00";""
"696";"GM0059";"1995JJ00";"   61727"
"697";"GM0059";"1996JJ00";"   73472"
"698";"GM0059";"1997JJ00";"   80563"
"699";"GM0059";"1998JJ00";"   95810"
"700";"GM0059";"1999JJ00";"  109922"
"701";"GM0059";"2000JJ00";"  133915"
"702";"GM0059";"2001JJ00";"  153585"
"703";"GM0059";"2002JJ00";"  153570"
"704";"GM0059";"2003JJ00";"  159611"
"705";"GM0059";"2004JJ00";"  176705"
"706";"GM0059";"2005JJ00";"  182002"
"707";"GM0059";"2006JJ00";"  201098"
"708";"GM0059";"2007JJ00";"  199191"
"709";"GM0059";"2008JJ00";"  214001"
"710";"GM0059";"2009JJ00";"  183043"
"711";"GM0059";"2010JJ00";"  188733"
"712";"GM0059";"2011JJ00";"  188124"
"713";"GM0059";"2012JJ00";"  178073"
"714";"GM0059";"2013JJ00";"  152525"
"715";"GM0059";"2014JJ00";"  155891"
"716";"GM0059";"2015JJ00";"  174264"
"717";"GM0059";"2016JJ00";"  179055"
"718";"GM0059";"2017JJ00";"  184383"
"719";"GM0059";"2018JJ00";"  211426"
"720";"GM0059";"2019JJ00";"  216483"
"721";"GM0059";"2020JJ00";"  241065"
"722";"GM0059";"2021JJ00";"  295024"
"723";"GM0059";"2022JJ00";"  305540"
"724";"GM0059";"2023JJ00";"  319773"
"725";"GM0360";"1995JJ00";"  125204"
"726";"GM0360";"1996JJ00";"  131277"
"727";"GM0360";"1997JJ00";"  137146"
"728";"GM0360";"1998JJ00";"  146720"
"729";"GM0360";"1999JJ00";"  171308"
"730";"GM0360";"2000JJ00";"  219702"
"731";"GM0360";"2001JJ00";"  273854"
"732";"GM0360";"2002JJ00";""
"733";"GM0360";"2003JJ00";""
"734";"GM0360";"2004JJ00";""
"735";"GM0360";"2005JJ00";""
"736";"GM0360";"2006JJ00";""
"737";"GM0360";"2007JJ00";""
"738";"GM0360";"2008JJ00";""
"739";"GM0360";"2009JJ00";""
"740";"GM0360";"2010JJ00";""
"741";"GM0360";"2011JJ00";""
"742";"GM0360";"2012JJ00";""
"743";"GM0360";"2013JJ00";""
"744";"GM0360";"2014JJ00";""
"745";"GM0360";"2015JJ00";""
"746";"GM0360";"2016JJ00";""
"747";"GM0360";"2017JJ00";""
"748";"GM0360";"2018JJ00";""
"749";"GM0360";"2019JJ00";""
"750";"GM0360";"2020JJ00";""
"751";"GM0360";"2021JJ00";""
"752";"GM0360";"2022JJ00";""
"753";"GM0360";"2023JJ00";""
"754";"GM0482";"1995JJ00";"   76663"
"755";"GM0482";"1996JJ00";"   97615"
"756";"GM0482";"1997JJ00";"  102416"
"757";"GM0482";"1998JJ00";"  110649"
"758";"GM0482";"1999JJ00";"  133865"
"759";"GM0482";"2000JJ00";"  146283"
"760";"GM0482";"2001JJ00";"  172244"
"761";"GM0482";"2002JJ00";"  182776"
"762";"GM0482";"2003JJ00";"  197255"
"763";"GM0482";"2004JJ00";"  204159"
"764";"GM0482";"2005JJ00";"  203787"
"765";"GM0482";"2006JJ00";"  209694"
"766";"GM0482";"2007JJ00";"  225699"
"767";"GM0482";"2008JJ00";"  226449"
"768";"GM0482";"2009JJ00";"  221303"
"769";"GM0482";"2010JJ00";"  229507"
"770";"GM0482";"2011JJ00";"  223250"
"771";"GM0482";"2012JJ00";"  212680"
"772";"GM0482";"2013JJ00";"  190876"
"773";"GM0482";"2014JJ00";"  204392"
"774";"GM0482";"2015JJ00";"  210548"
"775";"GM0482";"2016JJ00";"  213289"
"776";"GM0482";"2017JJ00";"  233036"
"777";"GM0482";"2018JJ00";"  263854"
"778";"GM0482";"2019JJ00";"  268447"
"779";"GM0482";"2020JJ00";"  292610"
"780";"GM0482";"2021JJ00";"  332755"
"781";"GM0482";"2022JJ00";"  368461"
"782";"GM0482";"2023JJ00";"  359952"
"783";"GM0613";"1995JJ00";"  116676"
"784";"GM0613";"1996JJ00";"  130390"
"785";"GM0613";"1997JJ00";"  150102"
"786";"GM0613";"1998JJ00";"  147784"
"787";"GM0613";"1999JJ00";"  156265"
"788";"GM0613";"2000JJ00";"  184493"
"789";"GM0613";"2001JJ00";"  242446"
"790";"GM0613";"2002JJ00";"  241545"
"791";"GM0613";"2003JJ00";"  245383"
"792";"GM0613";"2004JJ00";"  253426"
"793";"GM0613";"2005JJ00";"  273306"
"794";"GM0613";"2006JJ00";"  303935"
"795";"GM0613";"2007JJ00";"  291251"
"796";"GM0613";"2008JJ00";"  300151"
"797";"GM0613";"2009JJ00";"  289387"
"798";"GM0613";"2010JJ00";"  283348"
"799";"GM0613";"2011JJ00";"  266889"
"800";"GM0613";"2012JJ00";"  287149"
"801";"GM0613";"2013JJ00";"  246855"
"802";"GM0613";"2014JJ00";"  264735"
"803";"GM0613";"2015JJ00";"  267026"
"804";"GM0613";"2016JJ00";"  290565"
"805";"GM0613";"2017JJ00";"  326356"
"806";"GM0613";"2018JJ00";"  351955"
"807";"GM0613";"2019JJ00";"  361942"
"808";"GM0613";"2020JJ00";"  375789"
"809";"GM0613";"2021JJ00";"  452849"
"810";"GM0613";"2022JJ00";"  493052"
"811";"GM0613";"2023JJ00";"  468361"
"812";"GM0483";"1995JJ00";"  118817"
"813";"GM0483";"1996JJ00";"  140387"
"814";"GM0483";"1997JJ00";"  154551"
"815";"GM0483";"1998JJ00";"  175018"
"816";"GM0483";"1999JJ00";"  185251"
"817";"GM0483";"2000JJ00";"  234687"
"818";"GM0483";"2001JJ00";"  254388"
"819";"GM0483";"2002JJ00";"  277450"
"820";"GM0483";"2003JJ00";"  291477"
"821";"GM0483";"2004JJ00";"  240027"
"822";"GM0483";"2005JJ00";"  239278"
"823";"GM0483";"2006JJ00";"  318351"
"824";"GM0483";"2007JJ00";"  271451"
"825";"GM0483";"2008JJ00";"  320959"
"826";"GM0483";"2009JJ00";""
"827";"GM0483";"2010JJ00";""
"828";"GM0483";"2011JJ00";""
"829";"GM0483";"2012JJ00";""
"830";"GM0483";"2013JJ00";""
"831";"GM0483";"2014JJ00";""
"832";"GM0483";"2015JJ00";""
"833";"GM0483";"2016JJ00";""
"834";"GM0483";"2017JJ00";""
"835";"GM0483";"2018JJ00";""
"836";"GM0483";"2019JJ00";""
"837";"GM0483";"2020JJ00";""
"838";"GM0483";"2021JJ00";""
"839";"GM0483";"2022JJ00";""
"840";"GM0483";"2023JJ00";""
"841";"GM0361";"1995JJ00";"   84638"
"842";"GM0361";"1996JJ00";"   91749"
"843";"GM0361";"1997JJ00";"  101826"
"844";"GM0361";"1998JJ00";"  111290"
"845";"GM0361";"1999JJ00";"  128127"
"846";"GM0361";"2000JJ00";"  141369"
"847";"GM0361";"2001JJ00";"  158305"
"848";"GM0361";"2002JJ00";"  178507"
"849";"GM0361";"2003JJ00";"  181514"
"850";"GM0361";"2004JJ00";"  185798"
"851";"GM0361";"2005JJ00";"  190238"
"852";"GM0361";"2006JJ00";"  203969"
"853";"GM0361";"2007JJ00";"  214349"
"854";"GM0361";"2008JJ00";"  219564"
"855";"GM0361";"2009JJ00";"  210024"
"856";"GM0361";"2010JJ00";"  211926"
"857";"GM0361";"2011JJ00";"  206264"
"858";"GM0361";"2012JJ00";"  201883"
"859";"GM0361";"2013JJ00";"  187931"
"860";"GM0361";"2014JJ00";"  195094"
"861";"GM0361";"2015JJ00";"  194809"
"862";"GM0361";"2016JJ00";"  214497"
"863";"GM0361";"2017JJ00";"  238071"
"864";"GM0361";"2018JJ00";"  262519"
"865";"GM0361";"2019JJ00";"  286883"
"866";"GM0361";"2020JJ00";"  313937"
"867";"GM0361";"2021JJ00";"  365446"
"868";"GM0361";"2022JJ00";"  399298"
"869";"GM0361";"2023JJ00";"  393418"
"870";"GM0141";"1995JJ00";"   72108"
"871";"GM0141";"1996JJ00";"   75984"
"872";"GM0141";"1997JJ00";"   82409"
"873";"GM0141";"1998JJ00";"   90416"
"874";"GM0141";"1999JJ00";"  100990"
"875";"GM0141";"2000JJ00";"  120928"
"876";"GM0141";"2001JJ00";"  137626"
"877";"GM0141";"2002JJ00";"  148314"
"878";"GM0141";"2003JJ00";"  149677"
"879";"GM0141";"2004JJ00";"  155412"
"880";"GM0141";"2005JJ00";"  163863"
"881";"GM0141";"2006JJ00";"  174661"
"882";"GM0141";"2007JJ00";"  178376"
"883";"GM0141";"2008JJ00";"  172286"
"884";"GM0141";"2009JJ00";"  171564"
"885";"GM0141";"2010JJ00";"  172505"
"886";"GM0141";"2011JJ00";"  170489"
"887";"GM0141";"2012JJ00";"  171217"
"888";"GM0141";"2013JJ00";"  152775"
"889";"GM0141";"2014JJ00";"  164312"
"890";"GM0141";"2015JJ00";"  157127"
"891";"GM0141";"2016JJ00";"  169101"
"892";"GM0141";"2017JJ00";"  177040"
"893";"GM0141";"2018JJ00";"  191387"
"894";"GM0141";"2019JJ00";"  209973"
"895";"GM0141";"2020JJ00";"  222697"
"896";"GM0141";"2021JJ00";"  273244"
"897";"GM0141";"2022JJ00";"  293519"
"898";"GM0141";"2023JJ00";"  306698"
"899";"GM0034";"1995JJ00";"   92546"
"900";"GM0034";"1996JJ00";"  102638"
"901";"GM0034";"1997JJ00";"  108957"
"902";"GM0034";"1998JJ00";"  112179"
"903";"GM0034";"1999JJ00";"  134684"
"904";"GM0034";"2000JJ00";"  157145"
"905";"GM0034";"2001JJ00";"  170565"
"906";"GM0034";"2002JJ00";"  188560"
"907";"GM0034";"2003JJ00";"  197749"
"908";"GM0034";"2004JJ00";"  196465"
"909";"GM0034";"2005JJ00";"  197747"
"910";"GM0034";"2006JJ00";"  208941"
"911";"GM0034";"2007JJ00";"  215482"
"912";"GM0034";"2008JJ00";"  223489"
"913";"GM0034";"2009JJ00";"  209689"
"914";"GM0034";"2010JJ00";"  205853"
"915";"GM0034";"2011JJ00";"  205127"
"916";"GM0034";"2012JJ00";"  192040"
"917";"GM0034";"2013JJ00";"  180357"
"918";"GM0034";"2014JJ00";"  188513"
"919";"GM0034";"2015JJ00";"  194953"
"920";"GM0034";"2016JJ00";"  206317"
"921";"GM0034";"2017JJ00";"  240518"
"922";"GM0034";"2018JJ00";"  272616"
"923";"GM0034";"2019JJ00";"  294284"
"924";"GM0034";"2020JJ00";"  330079"
"925";"GM0034";"2021JJ00";"  390714"
"926";"GM0034";"2022JJ00";"  439053"
"927";"GM0034";"2023JJ00";"  424531"
"928";"GM0484";"1995JJ00";"  100965"
"929";"GM0484";"1996JJ00";"  112026"
"930";"GM0484";"1997JJ00";"  116687"
"931";"GM0484";"1998JJ00";"  125996"
"932";"GM0484";"1999JJ00";"  146359"
"933";"GM0484";"2000JJ00";"  181567"
"934";"GM0484";"2001JJ00";"  198489"
"935";"GM0484";"2002JJ00";"  203049"
"936";"GM0484";"2003JJ00";"  215776"
"937";"GM0484";"2004JJ00";"  213741"
"938";"GM0484";"2005JJ00";"  223145"
"939";"GM0484";"2006JJ00";"  236262"
"940";"GM0484";"2007JJ00";"  234586"
"941";"GM0484";"2008JJ00";"  248638"
"942";"GM0484";"2009JJ00";"  187425"
"943";"GM0484";"2010JJ00";"  193252"
"944";"GM0484";"2011JJ00";"  211847"
"945";"GM0484";"2012JJ00";"  198369"
"946";"GM0484";"2013JJ00";"  214234"
"947";"GM0484";"2014JJ00";"  224102"
"948";"GM0484";"2015JJ00";"  210948"
"949";"GM0484";"2016JJ00";"  223430"
"950";"GM0484";"2017JJ00";"  246886"
"951";"GM0484";"2018JJ00";"  269286"
"952";"GM0484";"2019JJ00";"  286500"
"953";"GM0484";"2020JJ00";"  320239"
"954";"GM0484";"2021JJ00";"  360031"
"955";"GM0484";"2022JJ00";"  411170"
"956";"GM0484";"2023JJ00";"  401474"
"957";"GM0741";"1995JJ00";"  124220"
"958";"GM0741";"1996JJ00";"  148051"
