,2019,2020,2021,2022,2023,2024**
Laren (NH.),725,783,847,928,1052,1054
Leeuwarden,203,220,241,268,303,324
Leiden,351,386,413,454,514,522
Leiderdorp,323,349,381,414,478,489
Leidschendam-Voorburg,338,361,392,422,466,478
Lelystad,220,246,266,308,381,398
Leudal,258,273,289,307,365,370
Leusden,358,382,403,437,501,513
Lingewaard,288,308,331,366,420,445
Lisse,325,357,381,416,471,474
Lochem,355,380,397,432,531,539
Loon op Zand,296,312,331,360,421,441
Lopik,322,343,383,424,491,500
Loppersum,192,209,,,,
Losser,264,282,302,335,398,416
Maasdriel,318,335,354,389,450,468
Maasgouw,243,260,276,295,344,351
Maashorst,,,,395,455,476
Maassluis,252,271,297,322,368,393
Maastricht,283,308,331,353,414,411
Medemblik,276,306,327,369,425,438
Meerssen,285,303,322,340,398,391
Meierijstad,320,334,355,394,461,481
Meppel,244,262,280,308,358,368
Middelburg (Z.),231,244,259,281,318,353
Midden-Delfland,366,401,433,470,525,538
Midden-Drenthe,253,267,281,305,344,378
Midden-Groningen,199,209,225,247,286,326
Mill en Sint Hubert,295,309,327,,,
Moerdijk,266,282,300,322,381,401
Molenlanden,323,334,357,397,447,477
Montferland,250,261,275,297,331,345
Montfoort,324,348,373,408,468,501
Mook en Middelaar,328,348,364,390,473,480
Neder-Betuwe,283,300,325,355,408,422
Nederweert,314,337,346,357,420,427
Nieuwegein,268,289,309,337,405,410
Nieuwkoop,336,362,384,421,497,531
Nijkerk,351,375,400,433,494,527
Nijmegen,299,323,351,394,458,475
Nissewaard,220,240,257,285,327,336
Noardeast-Fryslân,196,204,224,266,312,326
Noord-Beveland,234,247,259,286,319,326
Noordenveld,269,289,309,345,399,415
Noordoostpolder,249,263,277,302,360,381
Noordwijk,388,424,454,506,574,579
"Nuenen, Gerwen en Nederwetten",365,393,416,454,528,556
Nunspeet,328,347,373,412,460,496
Oegstgeest,454,494,529,571,640,649
Oirschot,355,373,406,455,509,551
Oisterwijk,386,407,432,484,547,571
Oldambt,173,189,210,239,294,307
Oldebroek,309,330,350,375,416,424
Oldenzaal,272,290,303,336,399,420
Olst-Wijhe,289,312,333,371,427,451
Ommen,287,302,320,361,438,464
Oost Gelre,241,254,271,288,321,340
Oosterhout,288,310,336,360,415,430
Ooststellingwerf,243,261,283,308,353,361
Oostzaan,374,415,448,482,559,568
Opmeer,282,300,323,356,411,424
Opsterland,253,272,295,325,373,381
Oss,279,303,310,350,410,434
Oude IJsselstreek,247,258,275,311,355,378
Ouder-Amstel,491,533,573,619,683,682
Oudewater,347,366,388,415,469,476
Overbetuwe,284,306,331,375,438,465
Papendrecht,252,275,301,323,385,399
Peel en Maas,280,296,318,332,395,398
Pekela,150,158,169,193,225,235
Pijnacker-Nootdorp,356,385,410,449,535,559
Purmerend,272,301,324,380,442,458
Putten,381,407,432,482,571,568
Raalte,291,309,330,363,423,444
Reimerswaal,231,239,250,266,309,334
Renkum,341,360,380,411,484,496
Renswoude,361,385,412,448,559,574
Reusel-De Mierden,318,336,356,416,462,486
Rheden,270,290,310,347,425,440
Rhenen,345,365,391,423,485,517
Ridderkerk,248,272,297,330,380,395
Rijssen-Holten,272,289,310,355,400,434
Rijswijk (ZH.),287,323,348,387,447,458
Roerdalen,245,255,268,285,334,334
Roermond,244,263,280,298,353,358
