"ID";"EigenaarHuurder";"HuishoudensEnWoningkenmerken";"RegioS";"Perioden";"TotaleWoonlasten_2";"Woonquote_5"
"61605";"A025403";"T001139";"GM0060";"2018JJ00";"     773";"    23.8"
"61606";"A025403";"T001139";"GM0060";"2019JJ00";"     766";"    22.6"
"61607";"A025403";"T001139";"GM0060";"2020JJ00";"     763";"    21.5"
"61608";"A025403";"T001139";"GM0060";"2021JJ00";"     774";"    21.2"
"61609";"A025403";"T001139";"GM0060";"2022JJ00";"     765";"    19.8"
"61610";"A025403";"T001139";"GM0307";"2018JJ00";"    1004";"    22.9"
"61611";"A025403";"T001139";"GM0307";"2019JJ00";"    1008";"    22.1"
"61612";"A025403";"T001139";"GM0307";"2020JJ00";"     993";"    20.9"
"61613";"A025403";"T001139";"GM0307";"2021JJ00";"    1003";"    20.5"
"61614";"A025403";"T001139";"GM0307";"2022JJ00";"     919";"    18.2"
"61615";"A025403";"T001139";"GM0362";"2018JJ00";"    1088";"    22.5"
"61616";"A025403";"T001139";"GM0362";"2019JJ00";"    1107";"    21.9"
"61617";"A025403";"T001139";"GM0362";"2020JJ00";"    1129";"    21.1"
"61618";"A025403";"T001139";"GM0362";"2021JJ00";"    1113";"    20.5"
"61619";"A025403";"T001139";"GM0362";"2022JJ00";"    1002";"    18.1"
"61620";"A025403";"T001139";"GM0363";"2018JJ00";"    1117";"    24.9"
"61621";"A025403";"T001139";"GM0363";"2019JJ00";"    1143";"    24.2"
"61622";"A025403";"T001139";"GM0363";"2020JJ00";"    1131";"    23.3"
"61623";"A025403";"T001139";"GM0363";"2021JJ00";"    1145";"    22.4"
"61624";"A025403";"T001139";"GM0363";"2022JJ00";"    1003";"    19.3"
"61625";"A025403";"T001139";"GM0200";"2018JJ00";"     889";"    22.6"
"61626";"A025403";"T001139";"GM0200";"2019JJ00";"     908";"    22.1"
"61627";"A025403";"T001139";"GM0200";"2020JJ00";"     912";"    21.2"
"61628";"A025403";"T001139";"GM0200";"2021JJ00";"     916";"    20.8"
"61629";"A025403";"T001139";"GM0200";"2022JJ00";"     861";"    18.9"
"61630";"A025403";"T001139";"GM0003";"2018JJ00";"     754";"    22.5"
"61631";"A025403";"T001139";"GM0003";"2019JJ00";"     850";"    22.1"
"61632";"A025403";"T001139";"GM0003";"2020JJ00";"     744";"    21.0"
"61633";"A025403";"T001139";"GM0003";"2021JJ00";"";"       ."
"61634";"A025403";"T001139";"GM0003";"2022JJ00";"";"       ."
"61635";"A025403";"T001139";"GM0202";"2018JJ00";"     921";"    24.0"
"61636";"A025403";"T001139";"GM0202";"2019JJ00";"     949";"    23.4"
"61637";"A025403";"T001139";"GM0202";"2020JJ00";"     932";"    22.0"
"61638";"A025403";"T001139";"GM0202";"2021JJ00";"     954";"    21.8"
"61639";"A025403";"T001139";"GM0202";"2022JJ00";"     878";"    19.4"
"61640";"A025403";"T001139";"GM0106";"2018JJ00";"     806";"    22.7"
"61641";"A025403";"T001139";"GM0106";"2019JJ00";"     818";"    22.0"
"61642";"A025403";"T001139";"GM0106";"2020JJ00";"     813";"    20.9"
"61643";"A025403";"T001139";"GM0106";"2021JJ00";"     815";"    20.5"
